Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
All By Myself,"Alok, Sigala, Ellie Goulding",All By Myself,3lAmnw0gNntYuTltwETnSn,5Hp4xFihdOE2dmDzxWcBFb,78,2022-10-07,171778,False,https://open.spotify.com/track/5Hp4xFihdOE2dmDzxWcBFb,0.662,0.848,0,-4.338,0,0.0346,0.0932,7.62e-06,0.241,0.773,123.041
Go Hard,Lil Baby,Go Hard,0lvoLgzBquqlIQyVnXD2Jo,1IzJxbARcQrOWMZgPw1PNj,78,2023-05-03,217610,True,https://open.spotify.com/track/1IzJxbARcQrOWMZgPw1PNj,0.849,0.581,6,-5.464,0,0.261,0.0178,0.0,0.092,0.274,142.015
Drugs From Amsterdam,Mau P,Drugs From Amsterdam,060SvgMzLKrNzpvVLK5gSo,0w7JPlp7eEQI2EKW3ayXrv,78,2022-09-16,235786,False,https://open.spotify.com/track/0w7JPlp7eEQI2EKW3ayXrv,0.683,0.932,8,-10.402,1,0.0513,0.0389,0.605,0.0615,0.553,125.002
SHAKE SUMN,DaBaby,CALL DA FIREMAN,3oDobVNZ3U9BpxOdokk0fL,3FhZPYvMGSjFc6boVYKlCv,78,2023-05-05,124806,True,https://open.spotify.com/track/3FhZPYvMGSjFc6boVYKlCv,0.783,0.768,11,-8.471,0,0.157,0.00198,0.0,0.171,0.267,143.071
Astronaut In The Ocean,Masked Wolf,Astronaut In The Ocean,7vus4Q8r5DS2Dl1JClxEsA,3Ofmpyhv5UAQ70mENzB277,78,2021-01-06,132780,True,https://open.spotify.com/track/3Ofmpyhv5UAQ70mENzB277,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996
When I’m Gone (with Katy Perry),"Alesso, Katy Perry",When I’m Gone (with Katy Perry),5itVTi6rI3MlOcWBxROxd9,5902W4uHWzhtOff1UK7the,78,2021-12-29,161267,False,https://open.spotify.com/track/5902W4uHWzhtOff1UK7the,0.685,0.886,0,-4.179,1,0.034,0.028,0.0,0.481,0.615,125.034
Lie,NF,Perception,1KOmHyNLuOe5YrPhD3Juuf,07FkzikE6FuHIa8Ma7zJGc,78,2017-10-06,209213,False,https://open.spotify.com/track/07FkzikE6FuHIa8Ma7zJGc,0.513,0.661,5,-6.419,1,0.24,0.161,0.0,0.246,0.179,94.791
One in a Million,"Bebe Rexha, David Guetta",One in a Million,65L5VcKGKe6sOJIPNFc0Q1,3YfGTvsTAWGC2lgoDOikUz,77,2023-08-04,160530,False,https://open.spotify.com/track/3YfGTvsTAWGC2lgoDOikUz,0.454,0.931,11,-4.083,1,0.0321,0.238,0.000623,0.289,0.462,137.945
Rainfall (Praise You),Tom Santa,Rainfall (Praise You),4VanY5i4E59Mhz52qznJ95,1M8t1j3Kv2qp97bdq5q4Vl,77,2022-02-18,166570,False,https://open.spotify.com/track/1M8t1j3Kv2qp97bdq5q4Vl,0.767,0.862,5,-5.464,0,0.0606,0.14,0.0092,0.252,0.509,128.039
Another Love - Tiësto Remix,"Tom Odell, Tiësto",Another Love (Tiësto Remix),1QltVGlNGbK94CKgUsYZGa,4Et6tUEO7biKxZEfJXpNj1,77,2022-05-13,185366,False,https://open.spotify.com/track/4Et6tUEO7biKxZEfJXpNj1,0.79,0.764,4,-4.685,0,0.0737,0.0836,0.0871,0.132,0.473,123.046
Got It On Me,Pop Smoke,Shoot For The Stars Aim For The Moon,7e7t0MCrNDcJZsPwUKjmOc,25zlnOAzbVoOzIeXSvQFf1,77,2020-07-03,164580,True,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1,0.688,0.647,2,-7.258,1,0.19,0.00815,1.65e-05,0.095,0.195,88.834
Kernkraft 400 (A Better Day),"Topic, A7S",Kernkraft 400 (A Better Day),2NIChqkijGw4r4Dqfmg0A3,3kcKlOkQQEPVwxwljbGJ5p,77,2022-06-17,165800,False,https://open.spotify.com/track/3kcKlOkQQEPVwxwljbGJ5p,0.623,0.727,11,-5.57,0,0.0562,0.184,2.02e-05,0.309,0.4,125.975
pushin P (feat. Young Thug),"Gunna, Future, Young Thug",DS4EVER,02uWB8Kekadkl3yGBoOOcx,3XOalgusokruzA5ZBA2Qcb,77,2022-01-13,136267,True,https://open.spotify.com/track/3XOalgusokruzA5ZBA2Qcb,0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502
MONEY ON THE DASH,"Elley Duhé, Whethan",MONEY ON THE DASH,1nlaLDMPSzXL8G5LPBDhwd,1p0jBDjxORjYNJyAphBRpE,77,2023-01-20,145667,False,https://open.spotify.com/track/1p0jBDjxORjYNJyAphBRpE,0.84,0.667,8,-7.126,1,0.0843,0.0439,1.34e-05,0.179,0.292,120.044
Cynical,"twocolors, Safri Duo, Chris de Sarandy",Cynical,2FSVbytdzBlR6SBT4AFewv,2grS8y9w2vVp7sDJ3RnSx9,77,2023-06-30,191365,False,https://open.spotify.com/track/2grS8y9w2vVp7sDJ3RnSx9,0.69,0.84,11,-6.947,1,0.0573,0.0268,3.06e-05,0.363,0.493,129.935
Motley Crew,Post Malone,Motley Crew,4tokbQaFXRrq8keVGBD9vb,40uMIn2zJLAQhNXghRjBed,77,2021-07-09,184213,True,https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed,0.797,0.631,3,-3.818,0,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915
Marianela (Que Pasa),"HUGEL, Merk & Kremont, Lirico En La Casa",Marianela (Que Pasa),5As1VmPUMn4HIgYSbFD6l0,5bZjb7xKqLqa58QiUBcVvl,76,2022-11-25,145766,False,https://open.spotify.com/track/5bZjb7xKqLqa58QiUBcVvl,0.828,0.893,1,-3.344,1,0.0496,0.033,0.00535,0.0811,0.602,124.043
PLAYA DEL INGLÉS,"Quevedo, Myke Towers",PLAYA DEL INGLÉS,1MgW79L1nRyxWHOCu4nxR9,2t6IxTASaSFkZEt61tQ6W6,76,2022-12-15,237525,False,https://open.spotify.com/track/2t6IxTASaSFkZEt61tQ6W6,0.793,0.736,7,-3.254,0,0.0469,0.0822,0.0,0.109,0.656,112.993
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",Levitating (feat. DaBaby),04m06KhJUuwe1Q487puIud,463CkQjx2Zk1yXoBuierM9,76,2020-10-01,203064,False,https://open.spotify.com/track/463CkQjx2Zk1yXoBuierM9,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977
family ties (with Kendrick Lamar),"Baby Keem, Kendrick Lamar",family ties (with Kendrick Lamar),3HqmX8hGcbbQZODgayNEYx,7Bpx2vsWfQFBACRz4h3IqH,76,2021-08-27,252070,True,https://open.spotify.com/track/7Bpx2vsWfQFBACRz4h3IqH,0.711,0.611,1,-5.453,1,0.329,0.00575,0.0,0.231,0.144,134.14
Lionheart (Fearless),"Joel Corry, Tom Grennan",Lionheart (Fearless),68U7caniDmdQHifJdnlYFT,5vlzH0ps6WDyb158oFTAb3,76,2022-10-21,186689,False,https://open.spotify.com/track/5vlzH0ps6WDyb158oFTAb3,0.628,0.967,8,-2.43,1,0.0538,0.0217,0.00157,0.336,0.349,125.982
